Title,Price_sold,Condition,Listing_type,Shipping_cost,Item_location,Seller_name,Link,Seller_Rating%,Seller_feedback,Shipping_cost_value,Shipping_type,Scraped_date
UMIDIGI G9A 4GB+64GB 6.75'' Dual SIM 5000mAh Android 14 Unlocked SmartphoneOpens in a new window or tab,100.39,Brand New,Buy It Now,+$49.57 delivery,United States,umidigi-us-official,https://www.ebay.com/itm/176705810645?_skw=electronics&itmmeta=01KP3YC1K2HRSAG7KTM029PT8Q&hash=item29247cb0d5:g:NUIAAOSw4J5nRrXn&itmprp=enc%3AAQALAAAAwGfYFPkwiKCW4ZNSs2u11xCLMA3eEN8KO96BYiB77GVITeMRX%2Fh14OBCNRdFTyer8fcEa%2BphYEB63P7axFTJd5Yey4ywjqilxsRJlgikQbXa4W0LkANHz1rgFw33QOAc5Z9%2Fnp6Z3O8TrAN6d79HnDAnpyQeTzQ4AHmv%2FWfSZzFJbbvuon1cKZiu%2F5VDB6njmvFmonMOGWNjDVQq6wDeDclsA1xR3NPTLqhEUS%2FQt2BhPXnHll2oTBl4K036Gd1C%2Bw%3D%3D%7Ctkp%3ABlBMUMSasP6wZw,97.7,0,49.57,Paid shipping,2026-04-13
Nintendo 3DS / 3DS XL LL Region Free Console Used RANK A/BOpens in a new window or tab,134.99,3DS Language English USAcharger & SDcard & Stylus.,Buy It Now,Free International Shipping,Japan,hima.89,https://www.ebay.com/itm/395697849134?_skw=electronics&itmmeta=01KP3YC1K2QWTN2YH58J1322MX&hash=item5c216e032e:g:KUwAAOSwMMRm6h4J&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDzaRZUiqryMLBdmvKoeYrrBebsUpyk7ET6EggZeqmiWp88WYqprIdAIWY05wzH%2FpFm%2FRFJqVn2LiO1cwtdzKZGjIsJPIniWHf3G4fOYSBcF1D8uC1B1gJYTXKJn3ZyRRKSZT2pclqM2DK9RCqjLymhsnVsuDzRmAH8bPknuKkVLwAd0ne8cmO0IyBObAo5d%2F5RechuVMRVS2lQ7suffJzRArXoxFtAgIZLiZ3LLCiXX5kgyXhvYqX1DJ1D8Vk%2Fb0A%3D%7Ctkp%3ABk9SR8aasP6wZw,99.7,0,0.0,Free shipping,2026-04-13
Canon PowerShot SX740 HS Digital Camera 20.3MP 40x Optical Zoom BlackOpens in a new window or tab,317.11,Brand New,Buy It Now,Free delivery,Canada,mirlafo-0,https://www.ebay.com/itm/389878435358?_skw=electronics&epid=17032510487&itmmeta=01KP3YC1K3R3ZEJQAZ2PVFRPNY&hash=item5ac690ce1e:g:QX8AAeSwiY5p3Pbs&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xA0lDqI9RRWrJmPAaN%2FlJPIN0kQoxaKilWA8VYD5U1uRejgoa%2B%2B3WMvlNhivtCC4ZSdLf%2FT1mUDaAAwhVPVgawNp0Gtp1Rk7NyExCKB5Foo8h%2FEHbLFgdvd5EEwXSdgGrRkuVZ%2FPdQOng9Jbek23qLABK4QC6xop1CLLDFUrAboQd8x2dspT8p9bR1lJjSDemZEz3lkJkL7cXLb0g%2FGH5FXO59tgDGLjUpTVklB3aUWNKqWs4AuwQK3mucIyaKsmjI%3D%7Ctkp%3ABk9SR8aasP6wZw,0.0,0,0.0,Free shipping,2026-04-13
SONY PS Vita PCH-2000 Console Wi-Fi Slim Various Color Tested [Ship From US]Opens in a new window or tab,164.99,Pre-Owned,Buy It Now,+$9.99 delivery,United States,jp_hobby_trading,https://www.ebay.com/itm/275137486913?_skw=electronics&itmmeta=01KP3YC1K3MX4Y0YA6GTT9TWB8&hash=item400f78e041:g:gB8AAOSwxK1jKFxq&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDARslda4SPqF%2FcuMcSgWoAP6ZGaysUh%2B6yjjZ1bQIWXAHKRO5%2BmBukOoJHRyld1%2F%2BwEK91IftHNIfA%2B%2BIroXnISKjaNrdkgcs8JdFU0MDdxg9v4jvWwOdiT6PkC46993bhMHik5KmQ86qBkesLYifeXhXkbhKGV7JhGOUlbH1MIQvBKPFIdfgklu94u5CAUc4DzCdtBd0rkpdQzcwAVOpRcZkyxQ1ekJbmGv8AWv6Sx1YKVX%2FKtT%2BQ%2FyXQaWJXb3g%3D%7Ctkp%3ABk9SR8aasP6wZw,98.8,0,9.99,Paid shipping,2026-04-13
Nintendo Gamecube  Console  DOL-001  memory  controller  NTSC-U/C  US/CanadaOpens in a new window or tab,93.2,Very Good - Refurbished,Buy It Now,Free International Shipping,Japan,carne_1916,https://www.ebay.com/itm/126226015799?_skw=electronics&itmmeta=01KP3YC1K3CGA7KQE1QP5F7E9K&hash=item1d63a82637:g:PLkAAOSw-KlmJ725&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xDVhmmGKBAqmyIO0CXuWwmtEuBeUwRED5lCBkc3hu%2FZGilHhCq78NwQBBdlPAj%2FMoZ2j7I08Jv5o95Z5W3JkhW0m97DQXJvT8HX4aP3qnvutnIZcFP0hxQ5zUmtsxnOjikBw1G5fj8Uahciu3rgE4ySh8hAxr150FimjqW7tdW5qk5257S3GQnxVMBXodT9px7OqG3e0cuCvUsHEmOrQdJH756wsnhtXWRAA%2FJG6ZseGVUDCuv9zOXKlt%2Bw%2FqFL1%2BcZWCEPGfyolGUWYuCVCp6gk0S7eaOfH8kyqu7%2FjB4pbQ%3D%3D%7Ctkp%3ABk9SR8aasP6wZw,99.9,0,0.0,Free shipping,2026-04-13
New ListingNew Nex Playground Active Play System For Kids & FamiliesOpens in a new window or tab,199.99,Brand New,Buy It Now,+$79.45 delivery,United States,paymore_north_raleigh,https://www.ebay.com/itm/358442870237?_skw=electronics&epid=13070709923&itmmeta=01KP3YC1K3CKTSD4T1F007GYRE&hash=item5374dc25dd:g:2~oAAeSwXNtpip48&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xD8vkCDvvTtdBi3IFddjUuqpWN1%2F2HLpTgPspfXyD5KyHkTIkZSNCwUGtvs7Q%2FSvccVPM94QOeXPM%2FA%2BxoISjq8NgypNx8rYbFNaLs%2Bjdhqi1M%2BxkMQuiQ4XjGipEWNjKuGl89AZPr6BRqPaSD85gZf08l6Xvh1M95IfMupzLLoGY3w5BuYqp22pdr8QC6fkfJP%2FKU1RgfLGRKfhhwGO8K%2FzvxkScwCh8tvh9g%2BLspcmcDpklVCYZI%2FcauUZYxvKoc%3D%7Ctkp%3ABk9SR8aasP6wZw,99.7,0,79.45,Paid shipping,2026-04-13
Xbox Game Pass Premium 1 Month Membership for New Users onlyOpens in a new window or tab,5.99,GLOBAL ✅ 24/7 INSTANT DELIVERY ✅,Buy It Now,Free International Shipping,Hong Kong,dapdigital,https://www.ebay.com/itm/157664142448?_skw=electronics&itmmeta=01KP3YC1K3C9TS2NZSDZF1E4NC&hash=item24b583e470:g:FsQAAeSw3zdphikq&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCkrLW43YiTe7P9w6Dn8rrhnH9liTrLGia2EUNmUYxDT5OeNkjeM9%2BgZTBbSA3BOCw1Ub0mLJ8RGFjluT5FunCccnth2zuWFHM%2BxmfuYTxdSlF8qG%2Fhv9%2FzmwwtxJIwI4mbKVPY8YgjReMiUxVoTlrvESm%2BJnD%2Bj5Wg8bRFJfJJAmGHAqpbRqryXG%2FpFptvj7kGkuYtWBKPZB%2F75nTvFfCrQXEkA2JoN99TqblvSwdqZWMtqKjSupBVXL9JFW%2Bu4SE%3D%7Ctkp%3ABk9SR8aasP6wZw,97.9,579,0.0,Free shipping,2026-04-13
Sony PlayStation Vita PCH-2000  Console PSV Slim Region Free Charger TestedOpens in a new window or tab,146.0,Pre-Owned,Buy It Now,Free International Shipping,Japan,sakura.shop_japan,https://www.ebay.com/itm/375747864781?_skw=electronics&itmmeta=01KP3YC1K36TC95QRXJ55SSC9H&hash=item577c5168cd:g:f5MAAOSwbg9nH-bH&itmprp=enc%3AAQALAAAA8GfYFPkwiKCW4ZNSs2u11xBRSIlhrHLSw%2FdMfoYQxMpI7qZ%2F4yhBeTrZ%2FiuVeEtFhliwdmFk5DzRhBRnXYiOfozUt0WrpmxfqFKUg3642hwmFl9wcXayaJ%2FoT1CH3MDhr2bYDhFjEbDI9GWh9smMP93nmaKLji3qikgphUDa9O2xizZ0UPw3wGXt7IpqJl8k2BpWif%2FWtvfflIsBwtTtnHTE0LOMVC29DHu%2B7jckdPaZcw9FCr2z0CAM%2BgFA3nBjDjfFi3K1mGVHVKQ5rne%2FpWdjcxX25oDp6maMYhDBWJhnwuZpLo9iRVXF1NC%2BiTq23Q%3D%3D%7Ctkp%3ABk9SR8aasP6wZw,99.1,0,0.0,Free shipping,2026-04-13
Sony PlayStation Classic Gray Console New SealedOpens in a new window or tab,89.0,Brand New,Buy It Now,+$46.95 delivery,United States,taihou2010,https://www.ebay.com/itm/335597456429?_skw=electronics&epid=9027530913&itmmeta=01KP3YC1K3EV65NZQMQB1GYHYB&hash=item4e232acc2d:g:nm4AAOSwvppjV7BX&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xC5kQrSUKGwbmhObeUKVdjZjv6LrCExIekI5Z%2FkarV2%2B4gdY8rRgHtpRIROm3txkaD5lEmgbZ1%2F9oEbXjh1jmoRsOCyvpIJbL4%2BK09kbXafYXu8ukrYlxDMb0ImtfHzIuY5fjLvBb3p5UzUxQANLw4W%2BnM1c9lgoF7k%2BNvw9g81P%2B%2FlX9l0GsVl2VEQSgeQYpYniEmzS%2FHM57Ylik0nG1YGfXLkuqH3dCFVs3l%2FoOa%2B%2B4ZuuMAIjb7fQJ1AJngq5H0%3D%7Ctkp%3ABk9SR8iasP6wZw,99.4,569,46.95,Paid shipping,2026-04-13
1 Month Xbox Game Pass Ultimate Membership for Existing UsersOpens in a new window or tab,20.99,USA ✅ 24/7 INSTANT DELIVERY ✅ EXISTING USERS ✅,Buy It Now,Free International Shipping,Hong Kong,dapdigital,https://www.ebay.com/itm/157707707488?_skw=electronics&epid=5057440888&itmmeta=01KP3YC1K341XCC05ASNDVEET0&hash=item24b81ca460:g:5xIAAeSwBk1phbuO&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xAJPm%2Fn5zLG%2Br7RB1yBP5IcCiFDO5YDyynKyvjz77LERZKT6wOXRYu0z%2B46S0L9Aw%2FjxCCz8jvctblgheJPrIk2Ww%2F5RJ3GN35OGOyau55n%2Boo0np8VaRh3%2BP2AcbcM3ysv7wJFCX3bXMaQpu%2B%2FGn5GvAXQpoRlbruF59H5o6Bo8UsQ7pUJng7wQ62GbpYuvWFqugmzxUoPiAizVExzat9W76jcPNkL%2Bbws8V3D5GnPk8fFTFk%2BehOtxPZohdbgOqE%3D%7Ctkp%3ABk9SR8iasP6wZw,97.9,579,0.0,Free shipping,2026-04-13
PS Vita PCH-2000 Sony Playstation Console only Choice 3 random games case UsedOpens in a new window or tab,164.8,Pre-Owned,Buy It Now,Free International Shipping,Japan,hima.89,https://www.ebay.com/itm/394847525814?_skw=electronics&itmmeta=01KP3YC1K35Z8ZKHE34NND9QNH&hash=item5beebf1bb6:g:g0AAAOSw6ppk3gUh&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xDBoC0VxR8Z%2Fyd5iH%2F%2BO4LQtxvh37i4%2FjE2v%2BPrJY%2BSMrX2yrRJzGqspte62gT5GP1x0Bn3Hut0MnmMuIwmu076tzUQIsY%2BgejGrqEMZK55MtC49XgXu%2BSevhNon9XnwSw4Qs5KHv%2FXDFQa72OSG1TW2VdB112198Bi%2Fu2Ofo5LSJGCOolKHpNzcshiX0oWrc267UFTE9n0gufxkccWMfVx%2BYnahKCnWogsEwqHK0KmbWOm5KElZeakmojvpdwO600%3D%7Ctkp%3ABk9SR8iasP6wZw,99.7,0,0.0,Free shipping,2026-04-13
Sony ZV-E10 II Mirrorless Camera with 16-50mm Lens (Black) ///ZVE10M2KB///Opens in a new window or tab,459.98,Brand New,Buy It Now,Free International Shipping,Spain,vero319029,https://www.ebay.com/itm/336519740858?_skw=electronics&epid=9070021700&itmmeta=01KP3YC1K4H5VRK0Y5D4GVS6MG&hash=item4e5a23bdba:g:m8cAAeSwaKZp1JHl&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xCti%2FYkj2tSh0Tceh3b0fuZN8PD6lwyIg%2FUvzlHExMHVUVd9SujEyyeu%2BP7Zt7fI5yuyf8xbc0DcdRq5M9%2BrgMyYpIHQiRYviPyj8MvlQXAIMfpBrax2TfRg%2B%2F0hY3GFB1bEIywjRe%2Bu1%2BYbYG%2FAfxiClMsehuDpdmHnTzvmYPaP77VzmzNHWAiLKlfi5JZDkBQ6ykr8d8zjwEMi8GtLVzoohhOKACyuEpnJ0oRrCeXOKJiT1g4eePxroRv6trAty8%3D%7Ctkp%3ABk9SR8iasP6wZw,0.0,0,0.0,Free shipping,2026-04-13
Nintendo 3DS LL XL Console Only Various Select Colors & Rank【1day Shipping】Opens in a new window or tab,158.94,Very Good - Refurbished,Buy It Now,Free International Shipping,Japan,playdo_nippon  99.8% positive (11.3K),https://www.ebay.com/itm/256527068153?_skw=electronics&itmmeta=01KP3YC1K4APZSS2EYNG54KX81&hash=item3bba346bf9:g:cp0AAOSwnfNnOvl-&itmprp=enc%3AAQALAAAA0GfYFPkwiKCW4ZNSs2u11xANzY%2FF4dSTnAEUpOsoE%2FAuNQmL0HqNB23Uoq9NNa0RzKWnppjSVkZbLe%2B8l0wXLE8VAJQRMSrhtkSCPLg--4x%2FYCfELAwsdtjR%2F2TdxYgXM3kfyzKSV3h69NwbbQiU0GYwDWRYtMUk065GIbG8pV6UHsCLU360ANryL0iFLhhc8oQ%2Ft%2FH4VYYEEI5eR0TAMr2NAYQBO4hV%2FWBSyroHYPmrhljRzS4jEl2gF3znyQO3e19%2BjZ007DHnu8kYruL8cG8%3D%7Ctkp%3ABk9SR8iasP6wZw,0.0,0,0.0,Free shipping,2026-04-13
